Delivery period ( EET ),01-09-2024,02-09-2024,03-09-2024,04-09-2024,05-09-2024,06-09-2024,07-09-2024,08-09-2024
00:00 - 01:00,86.12,87.07,91.19,87.53,71.12,79.65,81.54,79.03
01:00 - 02:00,73.12,79.25,83.72,90.01,86.26,63.74,94.14,98.93
02:00 - 03:00,65.48,80.86,77.04,85.14,81.72,57.75,85.02,87.55
03:00 - 04:00,59.38,79.13,77.03,81.04,77.44,54.25,80.88,82.91
04:00 - 05:00,50.61,76.82,78.13,78.6,73.67,53.66,74.04,78.36
05:00 - 06:00,49.39,76.81,77.04,77,67.32,49.81,72.79,74.35
06:00 - 07:00,45.01,80,83.43,78.61,68.92,53,73.28,68.77
07:00 - 08:00,45.53,90,94.58,89.58,76.01,63.05,73.81,70.44
08:00 - 09:00,47.61,101.13,109.91,98.62,94,85.22,78.06,68.3
09:00 - 10:00,43.92,109.86,117.34,112.96,96.19,91.82,78.14,72.15
10:00 - 11:00,34.21,101.56,105.57,105.3,89.49,81.85,81.86,82.86
11:00 - 12:00,22.9,94.72,97.53,95.58,86,81.15,90.83,94.92
12:00 - 13:00,25.01,90.76,88.53,87.67,80.36,75.9,92.58,98.67
13:00 - 14:00,18.93,86.33,80.3,82.99,82.53,75.08,87.09,97.73
14:00 - 15:00,24.07,78.15,77.08,78.22,84.17,77.66,83.93,88.52
15:00 - 16:00,20.81,74.65,75.6,79.45,74.48,77.81,75.11,76.35
16:00 - 17:00,24.06,76.05,79.85,81.71,61.08,73.89,73.54,72.64
17:00 - 18:00,25.91,85.25,81.09,85.41,61.02,69.01,73.53,59.57
18:00 - 19:00,64.65,93.39,92.34,93,67.5,77,78.5,78.8
19:00 - 20:00,89.65,105.17,110.28,109.9,85.62,84.95,101.88,89.5
20:00 - 21:00,102.56,118.88,124.23,120,98.98,95.79,111.23,103.7
21:00 - 22:00,108.17,118.69,124.95,114.81,99.61,100.57,105.03,106.91
22:00 - 23:00,102.57,104.1,124.24,108.86,91.11,96.29,92.32,95.04
23:00 - 00:00,96.71,88.14,107.94,93.7,79.54,89.73,84.44,83.38
